 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    1    7    0.23201686E-01 -0.18275812E-06
    2    7   -0.21166064E-01  0.48065302E-07
    3    7    0.14103542E-01 -0.71731883E-07
    4    7   -0.13565628E-01  0.95497462E-07
    5    7   -0.59040621E-02 -0.13358471E-07
    6    7    0.11740742E-01  0.45453642E-07
    7    7    0.16524928E-01 -0.13105291E-16
    8    7   -0.11740736E-01 -0.73754780E-07
    1    8    0.40015842E-01 -0.57467276E-06
    2    8   -0.11617003E-01  0.10592370E-06
    3    8   -0.23201686E-01  0.27265779E-06
    4    8   -0.23201685E-01  0.31138512E-06
    5    8    0.11740737E-01 -0.43151100E-07
    6    8    0.10851130E+00 -0.29735263E-06
    7    8   -0.11740736E-01  0.73754780E-07
    8    8   -0.53966056E-02  0.65379295E-17

   -2    1   -1
    1    1   -0.20391536E-01  0.47088920E-09
    2    1    0.26988811E-02  0.13377562E-07
    3    1    0.27948614E-02  0.10260443E-07
    4    1    0.26988838E-02  0.23599491E-08
    5    1    0.33899353E-02  0.37931621E-07
    6    1   -0.33899337E-02 -0.37750917E-07
    7    1    0.67280719E-02  0.53070987E-07
    8    1   -0.57199711E-02 -0.83060397E-07
    1    2    0.22196264E-02 -0.13527085E-07
    2    2    0.78001142E-03  0.10847410E-08
    3    2    0.26988806E-02 -0.79270630E-08
    4    2   -0.15342720E-01  0.70204427E-07
    5    2    0.33899356E-02  0.18539610E-07
    6    2    0.57199728E-02  0.33720213E-07
    7    2    0.67280730E-02  0.18785479E-07
    8    2    0.33899373E-02  0.28183347E-07
    1    3    0.25997981E-01 -0.71263270E-07
    2    3    0.22196282E-02  0.71342761E-08
    3    3   -0.20391535E-01 -0.10094866E-09
    4    3    0.22196261E-02 -0.18415044E-08
    5    3   -0.67280717E-02 -0.53304003E-07
